"","price","bedroom_more_than_2","washroom_more_than_2","size","baseroom","park_size","age","score"
"1",545000,"No less than 3","Less than 3",1240,TRUE,6240,1974,8
"2",785000,"No less than 3","Less than 3",3300,FALSE,10514,1984,10
"3",765000,"No less than 3","No less than 3",3190,FALSE,5283,2007,9
"4",720000,"No less than 3","Less than 3",2900,FALSE,9525,1989,9
"5",449500,"No less than 3","Less than 3",1200,TRUE,7488,1969,7
"6",248500,"Less than 3","Less than 3",780,FALSE,10064,1958,7
"7",675000,"No less than 3","Less than 3",1770,FALSE,9858,1971,8
"8",730000,"Less than 3","Less than 3",1530,TRUE,4920,1941,7
"9",311000,"Less than 3","Less than 3",860,FALSE,3300,1903,6
"10",660000,"Less than 3","Less than 3",960,FALSE,6263,1942,6
"11",435000,"Less than 3","Less than 3",870,TRUE,5643,1947,7
"12",350000,"No less than 3","Less than 3",1240,FALSE,10800,1959,7
"13",385000,"No less than 3","Less than 3",1630,FALSE,1598,2008,8
"14",235000,"Less than 3","Less than 3",930,FALSE,10505,1930,6
"15",350000,"No less than 3","Less than 3",1300,FALSE,10236,1971,6
"16",1350000,"No less than 3","Less than 3",1820,TRUE,3728,1926,9
"17",459900,"No less than 3","Less than 3",1290,TRUE,11000,1951,7
"18",430000,"No less than 3","No less than 3",1610,TRUE,8800,1959,7
"19",718000,"No less than 3","Less than 3",2930,FALSE,7663,2013,9
"20",220000,"No less than 3","Less than 3",1440,FALSE,8250,1959,7
"21",1500000,"No less than 3","No less than 3",2830,TRUE,5222,2005,10
"22",140000,"No less than 3","Less than 3",1200,FALSE,2002,1966,8
"23",200000,"No less than 3","Less than 3",1720,FALSE,8638,1994,8
"24",475000,"No less than 3","Less than 3",1150,TRUE,7775,1950,7
"25",179000,"No less than 3","Less than 3",920,FALSE,5200,1969,6
"26",400000,"No less than 3","Less than 3",1460,FALSE,1319,2002,8
"27",348125,"No less than 3","Less than 3",1400,FALSE,8451,1953,7
"28",675000,"No less than 3","Less than 3",1450,TRUE,10300,1985,8
"29",1000000,"No less than 3","Less than 3",1920,TRUE,3277,1922,8
"30",447500,"No less than 3","Less than 3",2320,FALSE,15024,1990,8
"31",345000,"No less than 3","Less than 3",2040,FALSE,5875,2004,8
"32",275000,"No less than 3","Less than 3",3020,FALSE,5868,2003,7
"33",529941,"No less than 3","Less than 3",1010,TRUE,10000,1961,7
"34",685900,"No less than 3","Less than 3",2290,FALSE,9142,1972,8
"35",310000,"Less than 3","Less than 3",920,FALSE,8282,1944,6
"36",299000,"Less than 3","Less than 3",890,TRUE,7800,1981,7
"37",630000,"No less than 3","Less than 3",1720,TRUE,5000,1957,8
"38",883000,"No less than 3","Less than 3",2170,TRUE,6874,1990,9
"39",510000,"No less than 3","Less than 3",2450,FALSE,62290,1976,8
"40",448500,"No less than 3","Less than 3",1830,FALSE,7943,1985,8
"41",330000,"Less than 3","Less than 3",880,FALSE,1753,1945,7
"42",358000,"No less than 3","Less than 3",1400,FALSE,1529,2005,7
"43",690000,"No less than 3","No less than 3",1930,TRUE,4800,1919,8
"44",1518630,"No less than 3","No less than 3",2330,TRUE,5328,1907,9
"45",627000,"No less than 3","Less than 3",2310,FALSE,10525,1965,7
"46",451000,"No less than 3","Less than 3",1330,TRUE,7800,1966,7
"47",453250,"No less than 3","Less than 3",2260,FALSE,6300,2001,7
"48",389000,"Less than 3","Less than 3",850,FALSE,3276,1910,6
"49",360000,"Less than 3","Less than 3",1230,FALSE,1107,2006,8
"50",925000,"No less than 3","No less than 3",2230,TRUE,13495,1988,9
"51",524225,"No less than 3","Less than 3",3056,FALSE,11385,2014,9
"52",319000,"No less than 3","Less than 3",1760,TRUE,7400,1979,8
"53",500000,"No less than 3","Less than 3",1440,FALSE,7100,1906,7
"54",750000,"No less than 3","Less than 3",2020,TRUE,9960,1958,8
"55",415000,"No less than 3","Less than 3",2230,FALSE,5743,2002,7
"56",1445000,"No less than 3","Less than 3",2600,TRUE,3600,1997,9
"57",270000,"No less than 3","Less than 3",1610,FALSE,8375,1927,7
"58",350000,"No less than 3","Less than 3",1250,FALSE,13775,1990,7
"59",659500,"No less than 3","No less than 3",1870,TRUE,18362,1956,8
"60",245000,"No less than 3","Less than 3",1180,TRUE,8208,1970,7
"61",290000,"No less than 3","Less than 3",1310,FALSE,6265,1988,7
"62",430000,"No less than 3","Less than 3",1200,TRUE,4840,1925,8
"63",637000,"No less than 3","Less than 3",1380,TRUE,6000,1958,7
"64",362000,"No less than 3","No less than 3",1810,FALSE,3000,1998,7
"65",495000,"No less than 3","No less than 3",2240,TRUE,2811,2003,8
"66",585000,"No less than 3","No less than 3",1260,TRUE,2197,2010,8
"67",630000,"No less than 3","Less than 3",1770,FALSE,6000,1911,7
"68",550000,"No less than 3","Less than 3",880,TRUE,7500,1947,7
"69",247200,"No less than 3","Less than 3",1590,FALSE,11200,1961,7
"70",404500,"Less than 3","Less than 3",1270,FALSE,3700,1909,7
"71",455000,"No less than 3","Less than 3",1180,FALSE,14292,1981,7
"72",527500,"No less than 3","Less than 3",1380,FALSE,1389,2008,8
"73",869950,"No less than 3","Less than 3",3140,FALSE,7928,2013,9
"74",535000,"No less than 3","Less than 3",860,TRUE,3561,1925,7
"75",1065500,"No less than 3","Less than 3",1520,TRUE,7232,1983,8
"76",431000,"No less than 3","Less than 3",1460,TRUE,8831,1979,7
"77",365000,"Less than 3","Less than 3",1250,FALSE,8100,1947,7
"78",270000,"No less than 3","Less than 3",1080,TRUE,1189,2007,7
"79",712000,"No less than 3","Less than 3",3400,FALSE,247421,2001,9
"80",461000,"No less than 3","No less than 3",1980,TRUE,6278,2006,9
"81",468000,"No less than 3","Less than 3",1470,FALSE,5597,1985,7
"82",343000,"No less than 3","Less than 3",2070,FALSE,4500,2004,7
"83",312000,"Less than 3","Less than 3",1160,FALSE,7500,1916,7
"84",675000,"No less than 3","Less than 3",1520,TRUE,3200,1931,8
"85",400000,"No less than 3","Less than 3",1420,TRUE,7508,1962,7
"86",360000,"No less than 3","Less than 3",1630,FALSE,10375,1968,7
"87",399950,"No less than 3","Less than 3",1260,TRUE,11997,1988,7
"88",485000,"No less than 3","Less than 3",2090,TRUE,47916,1991,8
"89",830000,"No less than 3","Less than 3",2090,FALSE,13500,1949,8
"90",500000,"No less than 3","Less than 3",770,TRUE,10800,1947,6
"91",1583000,"No less than 3","No less than 3",4750,TRUE,11063,2006,11
"92",800000,"No less than 3","Less than 3",1010,TRUE,7200,1950,8
"93",810000,"No less than 3","Less than 3",3520,FALSE,15420,1991,10
"94",358500,"Less than 3","Less than 3",1110,TRUE,865,2005,8
"95",259875,"No less than 3","Less than 3",2200,FALSE,6250,1996,7
"96",334000,"Less than 3","Less than 3",900,FALSE,1818,1945,7
"97",249500,"No less than 3","Less than 3",1170,TRUE,8554,1977,7
"98",722500,"No less than 3","No less than 3",1820,TRUE,5100,2003,8
"99",323000,"No less than 3","Less than 3",2100,FALSE,14850,1963,7
"100",660000,"No less than 3","Less than 3",2290,FALSE,9120,1977,8
"101",1599950,"No less than 3","No less than 3",5130,FALSE,43123,1996,11
"102",522000,"No less than 3","Less than 3",1360,TRUE,8623,1980,8
"103",710000,"No less than 3","Less than 3",1690,TRUE,41811,1995,8
"104",274000,"No less than 3","Less than 3",1450,FALSE,4694,2011,7
"105",319000,"No less than 3","No less than 3",2360,FALSE,8344,1990,8
"106",482500,"No less than 3","Less than 3",1690,FALSE,3068,2005,7
"107",734000,"No less than 3","Less than 3",2340,TRUE,7650,1959,8
"108",650000,"No less than 3","Less than 3",3060,FALSE,7831,2004,9
"109",760000,"No less than 3","Less than 3",3520,FALSE,8095,2006,9
"110",818000,"No less than 3","No less than 3",1910,TRUE,4800,1943,7
"111",425000,"Less than 3","Less than 3",910,FALSE,4635,1905,6
"112",345000,"No less than 3","Less than 3",2450,FALSE,6994,2002,8
"113",460000,"No less than 3","Less than 3",1690,FALSE,5131,1941,7
"114",965000,"No less than 3","No less than 3",3710,TRUE,49222,1978,9
"115",400000,"No less than 3","Less than 3",1330,FALSE,9900,1956,7
"116",933000,"No less than 3","Less than 3",1870,FALSE,3300,1906,7
"117",411800,"No less than 3","Less than 3",1340,TRUE,6800,1969,7
"118",475000,"No less than 3","Less than 3",1230,TRUE,7200,1979,7
"119",630000,"No less than 3","Less than 3",2740,FALSE,43101,1993,9
"120",450000,"No less than 3","Less than 3",1200,TRUE,92721,1946,6
