销售价格,卧室数,浴室数,房屋面积,停车面积,楼层数,房屋评分,建筑面积,地下室面积,2014-建筑年份,建筑年份
545000,3,2.25,1670,6240,1,8,1240,430,40,1974
785000,4,2.5,3300,10514,2,10,3300,0,30,1984
765000,3,3.25,3190,5283,2,9,3190,0,7,2007
720000,5,2.5,2900,9525,2,9,2900,0,25,1989
449500,5,2.75,2040,7488,1,7,1200,840,45,1969
248500,2,1,780,10064,1,7,780,0,56,1958
675000,4,2.5,1770,9858,1,8,1770,0,43,1971
730000,2,2.25,2130,4920,1.5,7,1530,600,73,1941
311000,2,1,860,3300,1,6,860,0,111,1903
660000,2,1,960,6263,1,6,960,0,72,1942
435000,2,1,990,5643,1,7,870,120,67,1947
350000,3,1,1240,10800,1,7,1240,0,55,1959
385000,3,2.25,1630,1598,3,8,1630,0,6,2008
235000,2,1,930,10505,1,6,930,0,84,1930
350000,3,1,1300,10236,1,6,1300,0,43,1971
1350000,4,1.75,2000,3728,1.5,9,1820,180,88,1926
459900,3,1.75,2580,11000,1,7,1290,1290,63,1951
430000,6,3,2630,8800,1,7,1610,1020,55,1959
718000,5,2.75,2930,7663,2,9,2930,0,1,2013
220000,4,1,1440,8250,1,7,1440,0,55,1959
1500000,4,3.25,3470,5222,2,10,2830,640,9,2005
140000,3,1.5,1200,2002,2,8,1200,0,48,1966
200000,4,2.5,1720,8638,2,8,1720,0,20,1994
475000,4,1.75,1650,7775,1,7,1150,500,64,1950
179000,3,1,920,5200,1,6,920,0,45,1969
400000,3,2.5,1460,1319,3,8,1460,0,12,2002
348125,3,1,1400,8451,1.5,7,1400,0,61,1953
675000,5,2.25,2900,10300,1,8,1450,1450,29,1985
1000000,4,2.5,2610,3277,1.5,8,1920,690,92,1922
447500,3,2.5,2320,15024,2,8,2320,0,24,1990
345000,4,2.5,2040,5875,2,8,2040,0,10,2004
275000,3,2.5,3020,5868,2,7,3020,0,11,2003
529941,3,2,1660,10000,1,7,1010,650,53,1961
685900,3,2.5,2290,9142,1,8,2290,0,42,1972
310000,1,1,920,8282,1.5,6,920,0,70,1944
299000,2,1.75,1270,7800,1,7,890,380,33,1981
630000,5,2,1900,5000,1,8,1720,180,57,1957
883000,4,2.5,2800,6874,2,9,2170,630,24,1990
510000,4,2.25,2450,62290,2,8,2450,0,38,1976
448500,3,2.25,1830,7943,2,8,1830,0,29,1985
330000,2,1,880,1753,2,7,880,0,69,1945
358000,3,2.5,1400,1529,2,7,1400,0,9,2005
690000,5,3.5,2690,4800,2,8,1930,760,95,1919
1518630,4,4.25,3650,5328,1.5,9,2330,1320,107,1907
627000,3,2,2310,10525,2,7,2310,0,49,1965
451000,4,1.75,1680,7800,1,7,1330,350,48,1966
453250,4,2.5,2260,6300,2,7,2260,0,13,2001
389000,2,1,850,3276,1,6,850,0,104,1910
360000,2,1.75,1230,1107,2,8,1230,0,8,2006
925000,5,3.5,4050,13495,1,9,2230,1820,26,1988
524225,4,2.5,3056,11385,2,9,3056,0,0,2014
319000,4,2.25,2380,7400,1,8,1760,620,35,1979
500000,4,1,1440,7100,1.5,7,1440,0,108,1906
750000,5,2.5,3240,9960,1,8,2020,1220,56,1958
415000,4,2.5,2230,5743,2,7,2230,0,12,2002
1445000,4,2.5,3200,3600,3,9,2600,600,17,1997
270000,3,1.5,1610,8375,2,7,1610,0,87,1927
350000,3,1.75,1250,13775,1,7,1250,0,24,1990
659500,4,3,2620,18362,1,8,1870,750,58,1956
245000,3,2,1850,8208,1,7,1180,670,44,1970
290000,3,2,1310,6265,1,7,1310,0,26,1988
430000,4,2.25,2020,4840,1.5,8,1200,820,89,1925
637000,3,2,1980,6000,1,7,1380,600,56,1958
362000,5,3,1810,3000,2,7,1810,0,16,1998
495000,4,3,2740,2811,2,8,2240,500,11,2003
585000,3,3.5,1700,2197,2,8,1260,440,4,2010
630000,4,2,1770,6000,2,7,1770,0,103,1911
550000,3,1,1130,7500,1,7,880,250,67,1947
247200,3,1,1590,11200,1,7,1590,0,53,1961
404500,2,1,1270,3700,1.5,7,1270,0,105,1909
455000,3,1.75,1180,14292,1,7,1180,0,33,1981
527500,3,2.5,1380,1389,3,8,1380,0,6,2008
869950,4,2.75,3140,7928,2,9,3140,0,1,2013
535000,3,1.75,1380,3561,1,7,860,520,89,1925
1065500,3,2.25,2950,7232,1,8,1520,1430,31,1983
431000,3,2.25,1830,8831,1,7,1460,370,35,1979
365000,2,1,1250,8100,1,7,1250,0,67,1947
270000,3,2.5,1350,1189,2,7,1080,270,7,2007
712000,4,2.5,3400,247421,2,9,3400,0,13,2001
461000,3,3.25,2770,6278,2,9,1980,790,8,2006
468000,3,2.25,1470,5597,2,7,1470,0,29,1985
343000,4,2.5,2070,4500,2,7,2070,0,10,2004
312000,2,1,1160,7500,1.5,7,1160,0,98,1916
675000,4,2.75,2280,3200,1.5,8,1520,760,83,1931
400000,3,2.5,2180,7508,1,7,1420,760,52,1962
360000,4,2,1630,10375,1,7,1630,0,46,1968
399950,3,2.25,1560,11997,1,7,1260,300,26,1988
485000,3,2.25,2440,47916,2,8,2090,350,23,1991
830000,4,2.75,2090,13500,1,8,2090,0,65,1949
500000,3,1.75,1540,10800,1,6,770,770,67,1947
1583000,4,4,5610,11063,3,11,4750,860,8,2006
800000,4,2.25,2010,7200,1,8,1010,1000,64,1950
810000,4,2.5,3520,15420,2,10,3520,0,23,1991
358500,2,1.75,1400,865,2,8,1110,290,9,2005
259875,5,2.5,2200,6250,2,7,2200,0,18,1996
334000,2,1,900,1818,2,7,900,0,69,1945
249500,4,1.5,2120,8554,1,7,1170,950,37,1977
722500,4,3.5,2600,5100,2,8,1820,780,11,2003
323000,3,1.75,2100,14850,1,7,2100,0,51,1963
660000,4,2.5,2290,9120,2,8,2290,0,37,1977
1599950,5,4.5,5130,43123,2,11,5130,0,18,1996
522000,4,2.25,1800,8623,1,8,1360,440,34,1980
710000,4,2.75,2710,41811,1.5,8,1690,1020,19,1995
